timestamp_ms,bytes_sent,reqs_done
1701038217431,131188736,18302
1701038218472,485488640,67730
1701038219472,828921856,115642
1701038220472,1177387008,164256
1701038221473,1525637120,212840
1701038222473,1877385216,261912
1701038223474,2230265856,311142
1701038224474,2577404928,359571
1701038225474,2921992192,407644
1701038226475,3264837632,455474
1701038227475,3623760896,505547
1701038228475,3973752832,554374
1701038229476,4310699008,601381
1701038230476,4650447872,648779
1701038231476,5000411136,697602
1701038232476,5341063168,745126
1701038233477,5689040896,793672
1701038234477,6036086784,842088
1701038235478,6377097216,889663
1701038236478,6725053440,938205
1701038237478,7063762944,985458
1701038238478,7415948288,1034591
1701038239479,7759080448,1082461
1701038240479,8110563328,1131496
1701038241480,8465020928,1180946
1701038242480,8803551232,1228175
1701038243480,9149887488,1276491
1701038244480,9498374144,1325108
1701038245481,9835857920,1372190
1701038246481,10184882176,1420882
1701038247481,10351151104,1444078
1701038248482,10351151104,1444078
1701038249482,10351151104,1444078
1701038250482,10351151104,1444078
1701038251482,10351151104,1444078
