timestamp,energy_joule
1701038216.372995,168363.180542
1701038217.373126,168412.461182
1701038218.373277,168491.472778
1701038219.373412,168570.340088
1701038220.373556,168651.171631
1701038221.373707,168731.081726
1701038222.373862,168810.530518
1701038223.374003,168889.929260
1701038224.374156,168969.151855
1701038225.374291,169048.018372
1701038226.374443,169127.054077
1701038227.374588,169206.180481
1701038228.374723,169285.397888
1701038229.374848,169364.186951
1701038230.374983,169443.638367
1701038231.375126,169522.831421
1701038232.375250,169601.686646
1701038233.375385,169680.395447
1701038234.375528,169759.184265
1701038235.375669,169837.933228
1701038236.375811,169917.049622
1701038237.375954,169995.830750
1701038238.376095,170074.915710
1701038239.376260,170153.769775
1701038240.376409,170232.601501
1701038241.376534,170311.528748
1701038242.376674,170390.442383
1701038243.376819,170468.973450
1701038244.376971,170547.757874
1701038245.377104,170626.827454
1701038246.377266,170705.701904
