timestamp_ms,bytes_sent,reqs_done
1701038217422,178332672,24879
1701038218472,656617472,91604
1701038219472,1111040000,155001
1701038220473,1566580736,218553
1701038221473,2025196544,282533
1701038222473,2476866560,345546
1701038223474,2942808064,410548
1701038224475,3409387520,475640
1701038225475,3863329792,538969
1701038226475,4330489856,604142
1701038227476,4800330752,669689
1701038228476,5268601856,735017
1701038229476,5738607616,800587
1701038230477,6190241792,863594
1701038231477,6655022080,928435
1701038232477,7110075392,991919
1701038233478,7572569088,1056442
1701038234478,8041643008,1121881
1701038235478,8499807232,1185799
1701038236478,8964530176,1250632
1701038237479,9432951808,1315981
1701038238479,9899803648,1381112
1701038239481,10367945728,1446421
1701038240481,10825966592,1510319
1701038241482,11285650432,1574449
1701038242482,11707687936,1633327
1701038243482,12089125888,1686541
1701038244482,12495228928,1743196
1701038245483,12903919616,1800212
1701038246483,13300747264,1855573
1701038247484,13490821120,1882090
1701038248484,13490821120,1882090
1701038249484,13490821120,1882090
1701038250485,13490821120,1882090
1701038251485,13490821120,1882090
