bits_per_sec,reqs_per_sec
19248168960.0,469926.0
19248087040.0,469924.0
19248087040.0,469924.0
19248168960.0,469926.0
19248087040.0,469924.0
19248168960.0,469926.0
19248087040.0,469924.0
19248087040.0,469924.0
19248168960.0,469926.0
19248087040.0,469924.0
19248168960.0,469926.0
19248087040.0,469924.0
19248101376.0,469924.0
19248154624.0,469926.0
19248087040.0,469924.0
19248168960.0,469926.0
19248087040.0,469924.0
