timestamp,energy_joule,V_12V,I_12V,V_3V,I_3V
1701053778.211770,0.000000,12.021000,2.143000,3.366000,0.000000
1701053778.311892,2.579243,12.014000,2.218000,3.367000,0.000000
1701053778.412008,5.247039,12.009000,2.273000,3.367000,0.000000
1701053778.513843,8.026774,12.004000,2.328000,3.366000,0.000000
1701053778.615765,10.875016,12.001000,2.386000,3.366000,0.000000
1701053778.716758,13.766889,11.996000,2.434000,3.365000,0.000000
1701053778.819919,16.779011,11.991000,2.495000,3.365000,0.000000
1701053778.920930,19.801012,11.986000,2.561000,3.364000,0.000000
1701053779.023524,22.950252,11.981000,2.619000,3.364000,0.000000
1701053779.123994,26.102824,11.978000,2.678000,3.365000,0.000000
1701053779.225502,29.358905,11.972000,2.735000,3.366000,0.000000
1701053779.326737,32.673685,11.975000,2.712000,3.366000,0.000000
1701053779.428206,35.969012,11.975000,2.718000,3.366000,0.000000
1701053779.529599,39.269157,11.975000,2.720000,3.365000,0.000000
1701053779.631257,42.580361,11.971000,2.720000,3.366000,0.000000
1701053779.733630,45.913741,11.972000,2.722000,3.366000,0.000000
1701053779.836931,49.280091,11.971000,2.725000,3.366000,0.000000
1701053779.938935,52.607561,11.975000,2.720000,3.365000,0.000000
1701053780.041470,55.947331,11.977000,2.714000,3.366000,0.000000
1701053780.142476,59.230590,11.976000,2.712000,3.365000,0.000000
1701053780.244878,62.556495,11.978000,2.711000,3.364000,0.000000
1701053780.346824,65.866922,11.983000,2.711000,3.364000,0.000000
1701053780.448899,69.182922,11.983000,2.712000,3.364000,0.000000
1701053780.550146,72.473236,11.986000,2.709000,3.365000,0.000000
1701053780.653382,75.825317,11.991000,2.714000,3.365000,0.000000
1701053780.755200,79.138839,11.992000,2.710000,3.365000,0.000000
1701053780.858174,82.485321,11.992000,2.703000,3.365000,0.000000
1701053780.960723,85.809382,11.994000,2.703000,3.365000,0.000000
1701053781.061289,89.069710,11.993000,2.703000,3.365000,0.000000
1701053781.162711,92.357515,11.993000,2.703000,3.366000,0.000000
1701053781.263306,95.618511,11.995000,2.704000,3.365000,0.000000
1701053781.366245,98.957284,11.995000,2.704000,3.366000,0.000000
1701053781.467065,102.227328,11.995000,2.706000,3.366000,0.000000
1701053781.569576,105.554679,11.989000,2.708000,3.365000,0.000000
1701053781.672123,108.883991,11.984000,2.706000,3.365000,0.000000
1701053781.773609,112.175051,11.983000,2.703000,3.365000,0.000000
1701053781.875558,115.477184,11.984000,2.698000,3.364000,0.000000
1701053781.975746,118.716546,11.981000,2.715000,3.365000,0.000000
1701053782.077459,122.025108,11.977000,2.725000,3.365000,0.000000
1701053782.179637,125.359925,11.972000,2.725000,3.365000,0.000000
1701053782.281623,128.687086,11.971000,2.723000,3.365000,0.000000
1701053782.381991,131.958785,11.971000,2.721000,3.365000,0.000000
1701053782.484919,135.311468,11.971000,2.719000,3.366000,0.000000
1701053782.587758,138.658790,11.972000,2.719000,3.366000,0.000000
1701053782.690005,141.987120,11.973000,2.715000,3.366000,0.000000
1701053782.791539,145.287655,11.977000,2.729000,3.366000,0.000000
1701053782.892797,148.597297,11.975000,2.734000,3.367000,0.000000
1701053782.993137,151.882393,11.975000,2.734000,3.367000,0.000000
1701053783.093528,155.169159,11.980000,2.715000,3.367000,0.000000
1701053783.193688,158.426933,11.983000,2.708000,3.366000,0.000000
1701053783.296952,161.777846,11.986000,2.706000,3.366000,0.000000
1701053783.398225,165.062547,11.987000,2.714000,3.366000,0.000000
1701053783.498624,168.328799,11.988000,2.715000,3.365000,0.000000
1701053783.601933,171.691240,11.988000,2.725000,3.365000,0.000000
1701053783.703778,175.018242,11.991000,2.727000,3.365000,0.000000
1701053783.806168,178.366339,11.991000,2.708000,3.365000,0.000000
1701053783.906816,181.634543,11.991000,2.701000,3.364000,0.000000
1701053784.009322,184.954476,11.992000,2.701000,3.364000,0.000000
1701053784.110897,188.244530,11.992000,2.713000,3.365000,0.000000
1701053784.211771,191.526395,11.991000,2.722000,3.365000,0.000000
1701053784.313928,194.860748,11.989000,2.720000,3.366000,0.000000
1701053784.415561,198.175009,11.991000,2.715000,3.365000,0.000000
1701053784.516975,201.476599,11.988000,2.715000,3.366000,0.000000
1701053784.618948,204.795557,11.985000,2.707000,3.367000,0.000000
1701053784.722567,208.157309,11.982000,2.705000,3.366000,0.000000
1701053784.822680,211.402102,11.983000,2.698000,3.366000,0.000000
1701053784.922984,214.644944,11.983000,2.694000,3.366000,0.000000
1701053785.025036,217.939407,11.984000,2.699000,3.367000,0.000000
1701053785.125884,221.201317,11.983000,2.700000,3.366000,0.000000
1701053785.226009,224.440772,11.983000,2.684000,3.366000,0.000000
1701053785.328982,227.752628,11.983000,2.677000,3.366000,0.000000
1701053785.429430,230.974848,11.984000,2.678000,3.366000,0.000000
1701053785.531698,234.256950,11.982000,2.678000,3.367000,0.000000
1701053785.632968,237.506481,11.982000,2.686000,3.366000,0.000000
1701053785.733804,240.751752,11.980000,2.689000,3.366000,0.000000
1701053785.836769,244.068689,11.979000,2.692000,3.366000,0.000000
1701053785.939520,247.382149,11.982000,2.692000,3.366000,0.000000
1701053786.041996,250.687568,11.982000,2.694000,3.366000,0.000000
1701053786.142613,253.935435,11.977000,2.694000,3.365000,0.000000
1701053786.243024,257.175300,11.979000,2.693000,3.366000,0.000000
1701053786.344973,260.464119,11.976000,2.695000,3.365000,0.000000
1701053786.446214,263.731704,11.974000,2.700000,3.365000,0.000000
1701053786.546889,266.986507,11.979000,2.706000,3.365000,0.000000
1701053786.649590,270.315578,11.980000,2.705000,3.365000,0.000000
1701053786.752625,273.654520,11.980000,2.705000,3.365000,0.000000
1701053786.853753,276.931664,11.979000,2.703000,3.366000,0.000000
1701053786.956586,280.261318,11.982000,2.703000,3.366000,0.000000
1701053787.059458,283.593069,11.983000,2.701000,3.366000,0.000000
1701053787.161743,286.903634,11.983000,2.700000,3.366000,0.000000
1701053787.262279,290.156385,11.985000,2.698000,3.366000,0.000000
1701053787.364865,293.473558,11.985000,2.701000,3.366000,0.000000
1701053787.465269,296.723785,11.989000,2.706000,3.366000,0.000000
1701053787.567827,300.050995,11.985000,2.700000,3.366000,0.000000
1701053787.669285,303.334125,11.984000,2.694000,3.367000,0.000000
1701053787.770603,306.605166,11.983000,2.690000,3.367000,0.000000
1701053787.871718,309.864535,11.989000,2.690000,3.367000,0.000000
1701053787.972324,313.109119,11.985000,2.689000,3.367000,0.000000
1701053788.074301,316.395600,11.985000,2.684000,3.366000,0.000000
1701053788.174708,319.625466,11.985000,2.687000,3.366000,0.000000
1701053788.276115,322.891146,11.985000,2.687000,3.366000,0.000000
1701053788.376356,326.119277,11.987000,2.688000,3.366000,0.000000
1701053788.479616,329.446423,11.985000,2.688000,3.366000,0.000000
1701053788.582372,332.756778,11.984000,2.689000,3.366000,0.000000
1701053788.685476,336.079302,11.982000,2.682000,3.365000,0.000000
1701053788.785896,339.306371,11.987000,2.682000,3.365000,0.000000
1701053788.888495,342.604840,11.985000,2.697000,3.365000,0.000000
1701053788.991019,345.918779,11.984000,2.704000,3.365000,0.000000
1701053789.092222,349.198236,11.983000,2.709000,3.365000,0.000000
1701053789.194643,352.523021,11.987000,2.712000,3.365000,0.000000
1701053789.295167,355.790930,11.987000,2.709000,3.365000,0.000000
1701053789.395789,359.058406,11.986000,2.710000,3.364000,0.000000
1701053789.497074,362.348351,11.989000,2.712000,3.364000,0.000000
1701053789.599684,365.684630,11.990000,2.710000,3.365000,0.000000
1701053789.701187,368.982757,11.990000,2.722000,3.365000,0.000000
