timestamp_ms,bytes_sent,reqs_done
1700948397499,234823680,45865
1700948398553,554941440,108387
1700948399553,867292160,169393
1700948400554,1188556800,232140
1700948401554,1491128320,291236
1700948402555,1808256000,353175
1700948403555,2108840960,411883
1700948404555,2409047040,470517
1700948405556,2716103680,530490
1700948406556,3023498240,590528
1700948407557,3329658880,650324
1700948408557,3639736320,710887
1700948409557,3951518720,771781
1700948410558,4285844480,837079
1700948411558,4616724480,901704
1700948412558,4948633600,966530
1700948413559,5277834240,1030827
1700948414559,5597998080,1093359
1700948415559,5926087680,1157439
1700948416560,6247429120,1220202
1700948417560,6575047680,1284189
1700948418560,6900311040,1347717
1700948419561,7226485760,1411423
1700948420561,7551324160,1474868
1700948421561,7883166720,1539681
1700948422561,8215792640,1604647
1700948423562,8508026880,1661724
1700948424562,8790149120,1716826
1700948425563,9075952640,1772647
1700948426563,9302594560,1816913
1700948427563,9302594560,1816913
1700948428564,9302594560,1816913
1700948429564,9302594560,1816913
1700948430564,9302594560,1816913
1700948431565,9302594560,1816913
