timestamp_ms,bytes_sent,reqs_done
1700948397469,119444480,23329
1700948398527,496568320,96986
1700948399528,860093440,167987
1700948400528,1219845120,238251
1700948401529,1567861760,306223
1700948402529,1932584960,377459
1700948403530,2306355200,450460
1700948404530,2677181440,522887
1700948405530,3055718400,596820
1700948406531,3423559680,668664
1700948407531,3807032320,743561
1700948408531,4181964800,816790
1700948409532,4549483520,888571
1700948410532,4915952640,960148
1700948411533,5274987520,1030271
1700948412533,5637104640,1100997
1700948413533,5995776000,1171052
1700948414534,6368168960,1243783
1700948415534,6720061440,1312512
1700948416534,7074723840,1381782
1700948417534,7373706240,1440177
1700948418535,7685575680,1501089
1700948419535,8052510720,1572756
1700948420536,8420326400,1644595
1700948421537,8784721920,1715766
1700948422537,9153520640,1787797
1700948423537,9534341120,1862176
1700948424537,9897666560,1933138
1700948425539,10262195200,2004335
1700948426539,10642385920,2078591
1700948427540,10811192320,2111561
1700948428541,10811192320,2111561
1700948429541,10811192320,2111561
1700948430541,10811192320,2111561
1700948431542,10811192320,2111561
