timestamp,energy_joule
1700948396.385253,159674.768555
1700948397.385366,159759.836243
1700948398.385501,159847.211548
1700948399.385644,159934.263062
1700948400.385789,160021.553284
1700948401.385917,160108.686340
1700948402.386058,160195.956726
1700948403.386200,160283.306946
1700948404.386342,160370.544983
1700948405.386485,160457.469421
1700948406.386635,160544.812134
1700948407.386760,160632.229553
1700948408.386896,160719.444763
1700948409.387039,160806.470093
1700948410.387181,160893.772095
1700948411.387326,160980.987976
1700948412.387470,161068.317627
1700948413.387603,161155.792908
1700948414.387752,161243.252930
1700948415.387898,161330.727112
1700948416.388041,161418.186646
1700948417.388185,161505.158936
1700948418.388335,161592.273315
1700948419.388484,161679.701294
1700948420.388627,161767.396240
1700948421.388783,161854.934143
1700948422.388922,161942.544861
1700948423.389069,162029.918884
1700948424.389215,162117.250000
1700948425.389364,162204.289490
1700948426.389510,162291.684814
