timestamp_ms,bytes_sent,reqs_done
1700948397502,261463040,51068
1700948398545,575114240,112327
1700948399545,887900160,173419
1700948400546,1192739840,232957
1700948401546,1506109440,294162
1700948402546,1815244800,354541
1700948403546,2142499840,418457
1700948404547,2466734080,481784
1700948405547,2778629120,542701
1700948406548,3090836480,603679
1700948407548,3405834240,665203
1700948408548,3715660800,725715
1700948409549,4028482560,786813
1700948410549,4342400000,848125
1700948411549,4654638080,909109
1700948412549,4977315840,972132
1700948413550,5295651840,1034307
1700948414550,5611069440,1095913
1700948415550,5923773440,1156987
1700948416550,6227747840,1216358
1700948417550,6544358400,1278195
1700948418551,6851205120,1338126
1700948419551,7167641600,1399930
1700948420551,7475742720,1460106
1700948421552,7788912640,1521272
1700948422552,8105185280,1583044
1700948423552,8419568640,1644448
1700948424553,8730910720,1705256
1700948425553,9048560640,1767297
1700948426553,9294458880,1815324
1700948427554,9294458880,1815324
1700948428554,9294458880,1815324
1700948429554,9294458880,1815324
1700948430555,9294458880,1815324
1700948431555,9294458880,1815324
