timestamp_ms,bytes_sent,reqs_done
1700948397472,103782400,20270
1700948398533,355225600,69381
1700948399533,598840320,116961
1700948400534,840576000,164176
1700948401534,1074862080,209934
1700948402535,1311528960,256158
1700948403535,1545507840,301857
1700948404535,1774126080,346509
1700948405536,2020075520,394546
1700948406536,2262830080,441959
1700948407536,2513126400,490845
1700948408537,2771635200,541335
1700948409537,3022064640,590247
1700948410537,3275893760,639823
1700948411537,3534653440,690362
1700948412538,3795952640,741397
1700948413538,4060738560,793114
1700948414539,4322309120,844201
1700948415539,4586112000,895725
1700948416539,4831375360,943628
1700948417539,5067965440,989838
1700948418540,5300039680,1035164
1700948419540,5544345600,1082880
1700948420541,5778150400,1128545
1700948421541,6014028800,1174615
1700948422541,6248837120,1220477
1700948423541,6493460480,1268254
1700948424541,6725969920,1313666
1700948425542,6970813440,1361487
1700948426542,7213127680,1408814
1700948427543,7314636800,1428640
1700948428543,7314636800,1428640
1700948429543,7314636800,1428640
1700948430543,7314636800,1428640
1700948431543,7314636800,1428640
