buf_size,time,bytes,server,bw_gbps
256,104.438631175,6422535454,fpga-no-copy,0.4919662681705001
2048,70.282877149,51380229087,fpga,5.8483922310777
6144,59.139854482,154140672000,fpga,20.85100456876028
3072,32.356553415,77070336000,fpga,19.055264635020457
128,70.74990339,3211268576,fpga-no-copy,0.3631121369365873
128,80.863808777,3211264000,fpga,0.3176960421298757
4096,42.542083905,102760448000,fpga,19.324008335740697
8192,66.890831544,205520897369,fpga-no-copy,24.579858569563253
8192,78.479813153,205520894785,fpga,20.950192058620484
64,81.830407917,3211260192,fpga-no-copy,0.31394297291121004
64,86.959713872,3211260480,fpga,0.29542511924331327
512,8.367257302,25690109651,fpga-no-copy,24.562514309064568
2048,33.482545642,102760447227,fpga-no-copy,24.552600826885477
1024,16.723185328,51380227240,fpga-no-copy,24.579158208082738
6144,100.334386929,308281342232,fpga-no-copy,24.5803140213654
3072,50.174807665,154140672273,fpga-no-copy,24.576584058222117
4096,66.915136637,205520889957,fpga-no-copy,24.57092972215311
512,75.28475366,3211261455,fpga,0.3412389679326208
256,77.108778708,3211267615,fpga,0.33316752450826537
1024,83.078271133,12845064351,fpga,1.2369120518106436
