buf_size,time,bytes,server,bw_gbps
6144,44.529305606,157273817088,catnip-no-copy,28.255337009667358
6144,97.382033215,157273817088,fpga,12.920150618812482
6144,44.586690539,157273817088,fpga-no-copy,28.218971210780044
8192,53.790968902,209698422784,catnip-no-copy,31.1871568130394
8192,226.096870189,209698422784,fpga,7.419772688006089
8192,47.606002841,209698422784,fpga-no-copy,35.238988408142546
64,57.755266673,3276668928,catnip-no-copy,0.4538694552726302
64,76.11465943,3276668928,fpga,0.3443929411272937
64,75.396393462,3276668928,fpga-no-copy,0.34767381064734354
512,61.85128543,26213351424,catnip-no-copy,3.3905004549878766
512,77.013200708,26213351424,fpga,2.7229982582741297
512,76.282756774,26213351424,fpga-no-copy,2.7490722708578863
256,58.091779966,13106675712,catnip-no-copy,1.8049611452320566
256,76.575489483,13106675712,fpga,1.3692815599863424
256,75.677616666,13106675712,fpga-no-copy,1.385527323868643
2048,54.759613188,104853405696,catnip-no-copy,15.318355933014885
2048,76.07035019,104853405696,fpga,11.026993348563156
2048,75.785370745,104853405696,fpga-no-copy,11.06845869225153
1024,64.879851113,52426702848,catnip-no-copy,6.4644664805644405
1024,82.941229469,52426702848,fpga,5.056756759806164
1024,85.917031027,52426702848,fpga-no-copy,4.881612152684799
3072,58.353675582,157280108544,catnip-no-copy,21.56232415186751
3072,78.204490185,157280108544,fpga,16.08911285497181
3072,78.857716316,157280108544,fpga-no-copy,15.955837007883359
128,55.812166542,6553337856,catnip-no-copy,0.939341833443209
128,76.139904728,6553337856,fpga,0.6885575052305047
128,77.789840863,6553337856,fpga-no-copy,0.6739530800729053
4096,82.518897528,209706811392,catnip-no-copy,20.330549018383877
4096,105.768610701,209706811392,fpga,15.861553631243249
4096,82.110502787,209706811392,fpga-no-copy,20.43166749919855
