timestamp_ms,bytes_sent,reqs_done
1701038292752,116143104,16203
1701038293816,467145728,65171
1701038294816,803425280,112085
1701038295817,1147102208,160031
1701038296817,1494284288,208466
1701038297818,1837172736,256302
1701038298818,2194891776,306207
1701038299818,2556925952,356714
1701038300819,2910501888,406041
1701038301819,3261913088,455067
1701038302819,3609331712,503534
1701038303820,3970147328,553871
1701038304820,4320239616,602712
1701038305820,4678051840,652630
1701038306821,5032645632,702099
1701038307821,5394909184,752638
1701038308822,5742521344,801133
1701038309823,6088147968,849351
1701038310823,6439408640,898355
1701038311823,6793013248,947686
1701038312823,7139607552,996039
1701038313824,7500688384,1046413
1701038314824,7852278784,1095463
1701038315825,8201553920,1144190
1701038316826,8545546240,1192180
1701038317826,8871489536,1237652
1701038318826,9204364288,1284091
1701038319826,9542923264,1331324
1701038320827,9873697792,1377469
1701038321828,10211375104,1424578
1701038322828,10364196864,1445898
1701038323829,10364196864,1445898
1701038324829,10364196864,1445898
1701038325829,10364196864,1445898
1701038326829,10364196864,1445898
