timestamp,energy_joule
1701038291.701132,171609.124084
1701038292.701264,171687.792358
1701038293.701409,171771.281494
1701038294.701543,171854.700867
1701038295.701710,171937.976379
1701038296.701847,172021.438049
1701038297.701991,172104.750732
1701038298.702135,172188.270081
1701038299.702290,172271.668884
1701038300.702435,172354.788452
1701038301.702578,172438.339111
1701038302.702701,172521.585632
1701038303.702833,172604.912781
1701038304.702977,172688.283020
1701038305.703121,172771.345581
1701038306.703288,172854.739563
1701038307.703427,172938.010132
1701038308.703570,173021.424744
1701038309.703715,173104.982971
1701038310.703841,173188.554810
1701038311.703974,173272.079041
1701038312.704117,173355.774475
1701038313.704262,173439.406799
1701038314.704414,173523.157959
1701038315.704566,173606.766785
1701038316.704681,173690.286926
1701038317.704824,173773.689026
1701038318.704960,173857.439880
1701038319.705102,173940.911438
1701038320.705237,174024.579590
1701038321.705365,174108.308350
