timestamp_ms,bytes_sent,reqs_done
1701038292754,370929664,51749
1701038293795,777383936,108453
1701038294795,1163896832,162374
1701038295796,1565785088,218442
1701038296796,1966547968,274351
1701038297796,2367447040,330280
1701038298796,2772503552,386790
1701038299797,3179430912,443559
1701038300797,3589555200,500776
1701038301798,3996575744,557558
1701038302798,4395388928,613196
1701038303798,4808910848,670887
1701038304799,5219063808,728106
1701038305799,5619339264,783948
1701038306799,6017184768,839451
1701038307799,6413295616,894712
1701038308800,6818531328,951246
1701038309800,7214957568,1006552
1701038310800,7622723584,1063438
1701038311800,8014770176,1118132
1701038312801,8421267456,1174842
1701038313801,8819557376,1230407
1701038314801,9226291200,1287150
1701038315802,9635017728,1344171
1701038316802,10034590720,1399915
1701038317802,10434479104,1455703
1701038318802,10830518272,1510954
1701038319802,11234119680,1567260
1701038320803,11636022272,1623330
1701038321803,12030484480,1678360
1701038322803,12030484480,1678360
1701038323804,12030484480,1678360
1701038324804,12030484480,1678360
1701038325804,12030484480,1678360
1701038326804,12030484480,1678360
