bits_per_sec,reqs_per_sec
24771905536.0,431988.0
24771919872.0,431988.0
24771919872.0,431988.0
24771919872.0,431988.0
24771846144.0,431986.0
24771893248.0,431988.0
24771905536.0,431988.0
24771919872.0,431988.0
24771919872.0,431988.0
24771919872.0,431988.0
24771875840.0,431986.0
24771863552.0,431988.0
24771919872.0,431988.0
24771905536.0,431988.0
24771919872.0,431988.0
24771919872.0,431988.0
24771919872.0,431988.0
