timestamp,energy_joule,V_12V,I_12V,V_3V,I_3V
1701054470.060888,0.000000,12.016000,2.201000,3.365000,0.000000
1701054470.162740,2.693702,12.017000,2.202000,3.366000,0.000000
1701054470.263034,5.347625,12.014000,2.275000,3.366000,0.000000
1701054470.365014,8.134927,12.012000,2.338000,3.366000,0.000000
1701054470.465711,10.962907,12.009000,2.397000,3.366000,0.000000
1701054470.567138,13.882541,12.005000,2.463000,3.366000,0.000000
1701054470.668918,16.892005,12.000000,2.551000,3.366000,0.000000
1701054470.770142,19.990674,11.994000,2.624000,3.366000,0.000000
1701054470.870756,23.157223,11.990000,2.624000,3.366000,0.000000
1701054470.973997,26.405367,11.986000,2.690000,3.367000,0.000000
1701054471.074394,29.642401,11.982000,2.758000,3.366000,0.000000
1701054471.176432,33.014385,11.982000,2.819000,3.366000,0.000000
1701054471.278005,36.445242,11.982000,2.889000,3.366000,0.000000
1701054471.380160,39.981440,11.979000,2.886000,3.366000,0.000000
1701054471.481063,43.469797,11.981000,2.886000,3.366000,0.000000
1701054471.583077,46.997152,11.980000,2.894000,3.366000,0.000000
1701054471.684774,50.522999,11.978000,2.899000,3.366000,0.000000
1701054471.786829,54.066780,11.977000,2.896000,3.367000,0.000000
1701054471.888060,57.578017,11.981000,2.878000,3.366000,0.000000
1701054471.988150,61.029252,11.982000,2.876000,3.366000,0.000000
1701054472.091669,64.596541,11.981000,2.878000,3.366000,0.000000
1701054472.192829,68.084671,11.981000,2.881000,3.366000,0.000000
1701054472.293869,71.572295,11.982000,2.888000,3.366000,0.000000
1701054472.396613,75.127650,11.981000,2.892000,3.366000,0.000000
1701054472.497516,78.623843,11.977000,2.899000,3.366000,0.000000
1701054472.599181,82.153786,11.976000,2.898000,3.366000,0.000000
1701054472.700193,85.659554,11.974000,2.900000,3.366000,0.000000
1701054472.803236,89.237681,11.974000,2.905000,3.366000,0.000000
1701054472.904947,92.775644,11.975000,2.904000,3.365000,0.000000
1701054473.005968,96.288690,11.971000,2.904000,3.366000,0.000000
1701054473.107636,99.823054,11.970000,2.908000,3.366000,0.000000
1701054473.208433,103.331673,11.970000,2.915000,3.366000,0.000000
1701054473.311130,106.915033,11.969000,2.915000,3.366000,0.000000
1701054473.411842,110.428838,11.966000,2.911000,3.366000,0.000000
1701054473.512965,113.951258,11.967000,2.905000,3.366000,0.000000
1701054473.615302,117.508915,11.970000,2.897000,3.366000,0.000000
1701054473.717602,121.056382,11.969000,2.895000,3.367000,0.000000
1701054473.818786,124.562433,11.969000,2.892000,3.367000,0.000000
