timestamp,energy_joule
1700947568.797222,139170.303345
1700947569.797352,139215.051086
1700947570.797499,139292.128479
1700947571.797641,139368.882019
1700947572.797789,139445.681213
1700947573.797942,139522.613586
1700947574.798078,139599.693787
1700947575.798224,139676.472717
1700947576.798365,139753.153259
1700947577.798510,139829.926392
1700947578.798641,139906.839966
1700947579.798791,139983.896118
1700947580.798908,140060.961548
1700947581.799042,140138.068787
1700947582.799184,140215.284729
1700947583.799328,140292.376587
1700947584.799469,140369.486572
1700947585.799619,140446.791870
1700947586.799764,140523.934265
1700947587.799918,140601.089294
1700947588.800052,140678.055420
1700947589.800198,140754.951782
1700947590.800346,140832.045654
1700947591.800488,140908.931946
1700947592.800635,140985.869019
1700947593.800778,141062.747925
1700947594.800925,141139.291870
1700947595.801049,141215.892395
1700947596.801192,141292.369751
1700947597.801345,141369.005432
1700947598.801490,141445.503052
