timestamp_ms,bytes_sent,reqs_done
1700947649869,88171520,17221
1700947650919,346234880,67624
1700947651920,596679680,116539
1700947652920,862986240,168553
1700947653921,1150863360,224778
1700947654921,1432954880,279875
1700947655922,1710786560,334138
1700947656922,1993728000,389400
1700947657923,2266060800,442590
1700947658923,2545648640,497197
1700947659924,2815032320,549811
1700947660924,3098895360,605253
1700947661925,3373670400,658920
1700947662925,3650554880,712999
1700947663925,3935452160,768643
1700947664926,4213888000,823025
1700947665927,4492113920,877366
1700947666927,4775285760,932673
1700947667928,5045242880,985399
1700947668928,5329930240,1041002
1700947669928,5591065600,1092005
1700947670929,5870540800,1146590
1700947671929,6138926080,1199009
1700947672930,6395473920,1249116
1700947673931,6646568960,1298158
1700947674931,6891837440,1346062
1700947675931,7140316160,1394593
1700947676931,7387535360,1442878
1700947677932,7654830080,1495084
1700947678932,7945226240,1551802
1700947679932,8083778560,1578863
1700947680933,8083778560,1578863
1700947681933,8083778560,1578863
1700947682933,8083778560,1578863
1700947683933,8083778560,1578863
