timestamp_ms,bytes_sent,reqs_done
1700947649872,136079360,26579
1700947650917,540728320,105611
1700947651917,942540800,184091
1700947652918,1343820800,262476
1700947653918,1744778240,340777
1700947654919,2153226240,420553
1700947655919,2554859520,498996
1700947656919,2960839680,578289
1700947657920,3367720960,657758
1700947658920,3704284160,723493
1700947659921,4034068480,787904
1700947660921,4375306240,854552
1700947661921,4702822400,918520
1700947662922,5050977280,986519
1700947663922,5365258240,1047902
1700947664922,5714094080,1116034
1700947665922,6059079680,1183416
1700947666923,6393932800,1248815
1700947667923,6740044800,1316415
1700947668923,7069593600,1380780
1700947669923,7407795200,1446835
1700947670924,7797058560,1522863
1700947671924,8199546880,1601474
1700947672924,8606576640,1680972
1700947673924,9007503360,1759278
1700947674925,9414661120,1838801
1700947675925,9820211200,1918010
1700947676930,10230369280,1998119
1700947677930,10630932480,2076354
1700947678930,11042995200,2156835
1700947679931,11247646720,2196806
1700947680931,11247646720,2196806
1700947681931,11247646720,2196806
1700947682932,11247646720,2196806
1700947683932,11247646720,2196806
