timestamp,energy_joule
1700947648.829093,142421.064819
1700947649.829231,142471.040833
1700947650.829370,142551.201538
1700947651.829505,142631.312927
1700947652.829630,142711.254150
1700947653.829747,142791.237427
1700947654.829891,142871.131775
1700947655.830032,142951.156067
1700947656.830175,143031.199524
1700947657.830325,143111.349731
1700947658.830482,143191.596008
1700947659.830615,143271.700378
1700947660.830764,143351.730103
1700947661.830896,143431.756958
1700947662.831033,143511.711548
1700947663.831175,143591.727539
1700947664.831318,143671.804382
1700947665.831462,143751.903320
1700947666.831604,143831.867432
1700947667.831770,143911.878723
1700947668.831901,143991.916077
1700947669.832050,144071.978210
1700947670.832180,144152.225525
1700947671.832314,144232.559021
1700947672.832459,144313.079102
1700947673.832602,144393.448303
1700947674.832746,144473.810486
1700947675.832892,144554.199829
1700947676.833033,144634.508606
1700947677.833185,144715.007874
1700947678.833320,144795.486328
