timestamp,bytes_sent,reqs_done
124999999,0,0
249999999,0,0
374999999,0,0
499999999,0,0
624999999,0,0
749999999,0,0
874999999,0,0
999999999,0,0
1124999999,0,0
1249999999,0,0
1374999999,0,0
1499999999,0,0
1624999999,0,0
1749999999,0,0
1874999999,0,0
1999999999,0,0
2124999999,0,0
2249999999,0,0
2374999999,0,0
2499999999,0,0
2624999999,0,0
2749999999,0,0
2874999999,0,0
2999999999,0,0
3124999999,0,0
3249999999,0,0
3374999999,0,0
3499999999,0,0
3624999999,0,0
3749999999,0,0
3874999999,0,0
3999999999,0,0
4124999999,0,0
4249999999,0,0
4374999999,0,0
4499999999,0,0
4624999999,0,0
4749999999,0,0
4874999999,0,0
4999999999,0,0
5124999999,0,0
5249999999,0,0
5374999999,0,0
5499999999,0,0
5624999999,0,0
5749999999,0,0
5874999999,0,0
5999999999,0,0
6124999999,0,0
6249999999,0,0
6374999999,0,0
6499999999,0,0
6624999999,0,0
6749999999,0,0
6874999999,0,0
6999999999,0,0
7124999999,0,0
7249999999,0,0
7374999999,0,0
7499999999,0,0
7624999999,0,0
7749999999,0,0
7874999999,0,0
7999999999,0,0
8124999999,0,0
8249999999,0,0
8374999999,0,0
8499999999,0,0
8624999999,0,0
8749999999,0,0
8874999999,0,0
8999999999,0,0
9124999999,0,0
9249999999,0,0
9374999999,0,0
9499999999,0,0
9624999999,0,0
9749999999,0,0
9874999999,150809600,29455
9999999999,1353820160,264418
10124999999,2556825600,499380
10249999999,3759836160,734343
10374999999,4962841600,969305
10499999999,6165847040,1204267
10624999999,7368857600,1439230
10749999999,8571863040,1674192
10874999999,9774873600,1909155
10999999999,10977879040,2144117
11124999999,12180884480,2379079
11249999999,13383895040,2614042
11374999999,14586900480,2849004
11499999999,15789911040,3083967
11624999999,16992916480,3318929
11749999999,18195922880,3553891
11874999999,19398932480,3788854
11999999999,20601937920,4023816
12124999999,21804948480,4258779
12249999999,23007953920,4493741
12374999999,24210961344,4728703
12499999999,25413969920,4963666
12624999999,26616975360,5198628
12749999999,27819985920,5433591
12874999999,29022991360,5668553
12999999999,30225999808,5903515
13124999999,31429007360,6138478
13249999999,32632012800,6373440
13374999999,33835023360,6608403
13499999999,35038028800,6843365
13624999999,36241038272,7078327
13749999999,37444044800,7313290
13874999999,38647050240,7548252
13999999999,39850060800,7783215
14124999999,41053066240,8018177
14249999999,42256076736,8253139
14374999999,43459082240,8488102
14499999999,44662087680,8723064
14624999999,45865098240,8958027
14749999999,47068103680,9192989
14874999999,48271114240,9427952
14999999999,49474119680,9662914
15124999999,50677125120,9897876
15249999999,51880135680,10132839
15374999999,53083141120,10367801
15499999999,54286151680,10602764
15624999999,55489157120,10837726
15749999999,56692163264,11072688
15874999999,57895173120,11307651
15999999999,59098178560,11542613
16124999999,60301189120,11777576
16249999999,61504194560,12012538
16374999999,62707201728,12247500
16499999999,63910210560,12482463
16624999999,65113216000,12717425
16749999999,66316226560,12952388
16874999999,67519232000,13187350
16999999999,68722240192,13422312
17124999999,69925248000,13657275
17249999999,71128253440,13892237
17374999999,72112168960,14084408
17499999999,72112168960,14084408
17624999999,72112168960,14084408
17749999999,72112168960,14084408
17874999999,72112168960,14084408
17999999999,72112168960,14084408
18124999999,72112168960,14084408
18249999999,72112168960,14084408
18374999999,72112168960,14084408
