config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
100gb_cluster,3,1,8,664378,66437.8,117.18999123992667,99,313,611.8959349999786
100gb_cluster,3,1,10,725373,72537.3,134.44798193481148,111,374,603.6057129999972
100gb_cluster,3,1,12,777051,77705.1,151.0967233810908,128,409,606.3547369999869
100gb_cluster,3,1,16,870183,87018.3,180.64139037420864,157,485,605.8482670000012
100gb_cluster,3,1,24,945767,94576.7,250.00698480704023,226,656,605.8328850000107
100gb_cluster,3,1,32,1053319,105331.9,300.0677078833668,275,790,616.3542480000178
100gb_cluster,3,1,64,1182352,118235.2,537.0628822888615,496,1357,606.7861940000003
100gb_cluster,3,2,1,216726,21672.6,86.31507064219336,87,156,576.1911620000028
100gb_cluster,3,2,2,414826,41482.6,91.25815161055479,89,208,592.0935670000035
100gb_cluster,3,2,4,643427,64342.7,119.96514911559508,102,317,595.2471920000098
100gb_cluster,3,2,6,754003,75400.3,154.50397677462823,131,414,608.7019039999868
100gb_cluster,3,2,8,842359,84235.9,185.56543943852918,162,488,611.6307369999995
100gb_cluster,3,2,10,898577,89857.7,217.97720173118162,194,571,612.072021
100gb_cluster,3,2,12,946558,94655.8,249.0589620498691,226,640,608.620728000009
100gb_cluster,3,2,16,1049902,104990.2,300.2624397324703,278,750,609.7044069999829
100gb_cluster,3,2,24,1136357,113635.7,417.33964238351155,385,1072,612.8446049999911
100gb_cluster,3,2,32,1192187,119218.7,531.4433146813377,489,1355,612.5611579999968
100gb_cluster,3,2,64,1338785,133878.5,950.3039210926325,910,2010,616.8525999999838
100gb_cluster,4,1,1,99496,9949.6,94.5800333681756,89,318,528.2095339999942
100gb_cluster,4,1,2,220296,22029.6,85.8395476994589,90,162,552.6719359999988
100gb_cluster,4,1,4,456993,45699.3,83.78249557433045,72,191,581.7142340000137
100gb_cluster,4,1,6,613705,61370.5,94.37081659755094,81,248,590.1953119999962
100gb_cluster,4,1,8,707737,70773.7,109.9344798986064,91,311,589.9332270000014
100gb_cluster,4,1,10,805117,80511.7,121.18234492626537,99,342,594.6649169999873
100gb_cluster,4,1,12,872661,87266.1,134.515308922938,108,387,596.7032469999976
100gb_cluster,4,1,16,961086,96108.6,163.36301434002783,135,474,598.3682859999826
100gb_cluster,4,1,24,1097577,109757.7,215.23993669692422,187,603,600.838562000019
100gb_cluster,4,1,32,1192706,119270.6,264.4859118676354,234,741,599.2463990000006
100gb_cluster,4,1,64,1388785,138878.5,456.80281901086204,397,1313,601.4011229999887
100gb_cluster,4,2,1,209254,20925.4,89.77426476913224,90,167,576.0435179999913
100gb_cluster,4,2,2,427292,42729.2,88.64939666551211,90,187,595.7886960000033
100gb_cluster,4,2,4,688998,68899.8,111.84166717465072,98,296,583.4948730000178
100gb_cluster,4,2,6,831369,83136.9,139.9967294907556,115,393,592.3788459999778
100gb_cluster,4,2,8,941821,94182.1,165.62815545629158,140,460,-261546.58343499998
100gb_cluster,4,2,10,1015965,101596.5,192.64746029636848,165,538,599.967224
100gb_cluster,4,2,12,1073931,107393.1,219.51361214081723,191,608,593.274719
100gb_cluster,4,2,16,1187808,118780.8,265.3148758048439,235,751,593.2503049999996
100gb_cluster,4,2,24,1317506,131750.6,360.00969331448965,320,1031,617.7736200000018
100gb_cluster,4,2,32,1387128,138712.8,456.6871817164674,392,1417,600.4738160000015
100gb_cluster,4,2,64,1517612,151761.2,838.6125083354639,596,2593,598.2888190000012
fpga_cluster,1,1,1,140703,14070.3,65.89385443096451,73,111,255.79921299999995
fpga_cluster,1,1,2,304680,30468.0,61.83479059997374,50,139,256.052606
fpga_cluster,1,1,4,479118,47911.8,80.51124148957042,67,270,255.421578
fpga_cluster,1,1,6,584918,58491.8,99.35348886510587,87,226,256.03439999999995
fpga_cluster,1,1,8,603248,60324.8,128.71382913826486,117,258,255.81509
