config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
fpga_cluster,2,1,64,951734,95173.4,667.8520941775748,648,1272,256.01343800000006
fpga_cluster,3,1,1,139846,13984.6,66.51870629120604,75,124,256.03059599999995
fpga_cluster,3,1,2,298261,29826.1,63.1560076577226,54,130,255.92075700000004
fpga_cluster,3,1,4,540393,54039.3,70.80599304580186,57,195,255.849023
fpga_cluster,3,1,6,660874,66087.4,87.65063839703181,72,265,256.004272
fpga_cluster,3,1,8,735128,73512.8,105.66548818709123,86,343,255.31951399999997
fpga_cluster,3,1,10,840396,84039.6,115.95381701007621,96,348,255.804553
fpga_cluster,3,1,12,888545,88854.5,132.09467612782694,114,377,255.741148
fpga_cluster,3,1,16,894599,89459.9,175.7024532779491,156,462,254.80945600000007
fpga_cluster,3,1,24,1076415,107641.5,219.6440768662644,202,566,256.26898900000003
fpga_cluster,3,1,32,1127399,112739.9,279.9563703710931,258,705,253.72392199999996
fpga_cluster,3,1,64,1282008,128200.8,494.93062289782904,469,1112,256.16350900000003
fpga_cluster,4,1,1,136641,13664.1,68.12702629518226,74,137,255.83979599999998
fpga_cluster,4,1,2,300686,30068.6,62.80599362790419,52,140,255.68431500000003
fpga_cluster,4,1,4,550557,55055.7,69.51144749771595,59,176,255.37129600000003
fpga_cluster,4,1,6,536909,53690.9,107.98938181330541,93,286,254.54027199999996
fpga_cluster,4,1,8,801630,80163.0,97.03267966518219,79,278,256.753386
fpga_cluster,4,1,10,866968,86696.8,112.40370809533916,90,355,253.42082800000003
fpga_cluster,4,1,12,925857,92585.7,126.68327182275449,103,398,255.456637
fpga_cluster,4,1,16,1036679,103667.9,151.40310645821899,132,433,255.87108300000006
fpga_cluster,4,1,24,1180924,118092.4,200.01509326595107,176,571,255.46221200000002
fpga_cluster,4,1,32,1251947,125194.7,252.2464042008168,222,728,255.39677999999998
fpga_cluster,4,1,64,1455273,145527.3,435.72426135852174,366,1200,256.058879
