config,num_shards,num_client_nodes,num_node_threads,num_txns,thruput,lat_avg,lat_med,lat_99,energy_j
100gb_cluster,4,1,24,963989,96398.9,245.33137515054634,214,675,314.9387809999971
100gb_cluster,4,1,32,1061034,106103.4,297.7536525690977,262,831,327.9937740000023
100gb_cluster,4,2,1,49419,4941.9,395.3685829336895,390,761,279.19586100000015
100gb_cluster,4,2,2,224502,22450.2,171.5763512129068,150,385,286.158875000001
100gb_cluster,4,2,4,488896,48889.6,157.4709999672732,139,338,300.02954099999624
100gb_cluster,4,2,6,691729,69172.9,167.6898612028699,145,414,306.65460200000234
100gb_cluster,4,2,8,801693,80169.3,193.8117196981887,169,496,316.0474850000028
100gb_cluster,4,2,10,873187,87318.7,222.87642395042528,187,599,316.35833800000546
100gb_cluster,4,2,12,947272,94727.2,247.32383834843634,215,668,329.7956540000014
100gb_cluster,4,2,16,1034191,103419.1,302.95367393450533,270,817,330.6071159999992
100gb_cluster,4,2,24,1143884,114388.4,412.3259360214847,372,1087,329.79644800000824
100gb_cluster,4,2,32,1243715,124371.5,506.6186047446561,454,1438,332.5234380000038
fpga_cluster,1,1,1,111247,11124.7,85.05232500651702,93,115,256.37374100000005
fpga_cluster,1,1,2,225203,22520.3,83.97361935675812,88,145,253.45894499999997
fpga_cluster,1,1,4,440514,44051.4,87.4624915439691,76,209,255.92011000000002
fpga_cluster,1,1,6,485570,48557.0,120.42889181786354,105,261,256.327652
fpga_cluster,1,1,8,494712,49471.2,158.31772020892964,141,304,256.20885799999996
fpga_cluster,1,1,10,487092,48709.2,201.679378844243,186,349,255.97204600000003
fpga_cluster,1,1,12,470516,47051.6,250.79928631544942,248,399,256.37027500000005
fpga_cluster,1,1,16,478091,47809.1,329.941385635789,324,593,256.90063399999997
fpga_cluster,1,1,24,443179,44317.9,536.0730021052442,545,751,255.71425500000004
fpga_cluster,1,1,32,495285,49528.5,640.2706704220802,639,923,256.25767
fpga_cluster,1,2,1,200989,20098.9,93.512560388877,94,133,257.142613
fpga_cluster,1,2,2,364569,36456.9,103.561185948339,98,217,256.268499
fpga_cluster,1,2,4,467887,46788.7,164.91497092246632,142,661,257.4040949999999
fpga_cluster,1,2,6,462372,46237.2,253.10496959158428,250,418,254.063179
fpga_cluster,1,2,8,433459,43345.9,361.87058291556986,361,595,256.38477099999994
fpga_cluster,1,2,10,462084,46208.4,425.52483963954603,424,630,256.38310299999995
fpga_cluster,1,2,12,468026,46802.6,504.59676171836605,497,799,256.49329800000004
fpga_cluster,1,2,16,486747,48674.7,646.7727176541407,630,1000,256.13859600000006
fpga_cluster,1,2,24,502077,50207.7,940.1263610960071,950,1244,255.735365
fpga_cluster,1,2,32,512735,51273.5,1230.2847006738373,1236,1571,255.64069899999998
fpga_cluster,2,1,1,82589,8258.9,115.27280872755452,109,267,253.94430700000004
fpga_cluster,2,1,2,217917,21791.7,87.04682057847712,87,159,255.69295499999998
