timestamp,energy_joule
1700947851.745161,147955.109009
1700947852.745303,148036.767578
1700947853.745441,148121.265442
1700947854.745585,148204.995789
1700947855.745729,148289.029541
1700947856.745871,148372.800842
1700947857.746016,148456.273682
1700947858.746160,148539.967346
1700947859.746312,148623.562988
1700947860.746436,148707.585876
1700947861.746573,148791.939087
1700947862.746725,148876.207092
1700947863.746849,148960.666870
1700947864.746984,149044.958984
1700947865.747130,149129.178101
1700947866.747284,149213.513184
1700947867.747362,149297.859924
1700947868.747506,149382.280884
1700947869.747625,149466.868042
1700947870.747759,149551.513184
1700947871.747903,149636.053406
1700947872.748046,149720.630615
1700947873.748193,149804.956665
1700947874.748318,149889.431396
1700947875.748469,149973.940552
1700947876.748605,150058.816895
1700947877.748748,150143.455200
1700947878.748907,150228.078674
1700947879.749043,150312.640015
1700947880.749194,150397.448120
1700947881.749331,150481.544006
