timestamp_ms,bytes_sent,reqs_done
1700947852809,117447680,22939
1700947853852,450519040,87992
1700947854853,763704320,149161
1700947855853,1079690240,210877
1700947856854,1395865600,272630
1700947857854,1713182720,334606
1700947858855,2029992960,396484
1700947859855,2356464640,460248
1700947860855,2672670720,522007
1700947861855,2983275520,582671
1700947862856,3303808000,645275
1700947863856,3634222080,709809
1700947864856,3963944960,774208
1700947865857,4285445120,837001
1700947866857,4612444160,900868
1700947867857,4933217280,963519
1700947868858,5267799040,1028867
1700947869858,5593528320,1092486
1700947870859,5905802240,1153477
1700947871859,6226805760,1216173
1700947872859,6547235840,1278757
1700947873859,6863590400,1340545
1700947874860,7205539840,1407332
1700947875860,7559424000,1476450
1700947876860,7873914880,1537874
1700947877861,8189736960,1599558
1700947878861,8513146880,1662724
1700947879861,8840289280,1726619
1700947880861,9158179840,1788708
1700947881862,9468999680,1849414
1700947882862,9624744960,1879833
1700947883862,9624744960,1879833
1700947884863,9624744960,1879833
1700947885863,9624744960,1879833
1700947886863,9624744960,1879833
