timestamp_ms,bytes_sent,reqs_done
1700947852813,293232640,57272
1700947853862,646123520,126197
1700947854862,995783680,194489
1700947855862,1344527360,262604
1700947856863,1690296320,330136
1700947857863,2033203200,397110
1700947858863,2365921280,462095
1700947859864,2706073600,528530
1700947860864,3050992640,595897
1700947861864,3390095360,662128
1700947862864,3721717760,726899
1700947863865,4057799680,792539
1700947864865,4401489920,859667
1700947865865,4739077120,925601
1700947866865,5077570560,991713
1700947867866,5415997440,1057812
1700947868867,5755074560,1124038
1700947869867,6096496640,1190722
1700947870867,6438871040,1257592
1700947871867,6775633920,1323366
1700947872868,7113922560,1389438
1700947873868,7456199680,1456289
1700947874868,7799188480,1523279
1700947875868,8151239680,1592039
1700947876869,8508078080,1661735
1700947877869,8860134400,1730495
1700947878869,9216660480,1800130
1700947879869,9568947200,1868935
1700947880870,9926000640,1938672
1700947881870,10200314880,1992249
1700947882870,10200314880,1992249
1700947883871,10200314880,1992249
1700947884871,10200314880,1992249
1700947885871,10200314880,1992249
1700947886872,10200314880,1992249
