timestamp_ms,bytes_sent,reqs_done
1700947852809,103429120,20201
1700947853863,367395840,71757
1700947854863,629852160,123018
1700947855863,889569280,173744
1700947856864,1153039360,225203
1700947857864,1410590720,275506
1700947858864,1680286720,328181
1700947859865,1945825280,380044
1700947860865,2227251200,435010
1700947861865,2486082560,485563
1700947862866,2749762560,537064
1700947863866,3027645440,591337
1700947864866,3325834240,649578
1700947865867,3611443200,705360
1700947866867,3915494400,764745
1700947867867,4194186240,819177
1700947868867,4474004480,873829
1700947869868,4750484480,927829
1700947870868,5020800000,980625
1700947871868,5293859840,1033958
1700947872870,5556014080,1085159
1700947873870,5828090880,1138299
1700947874870,6087306240,1188927
1700947875871,6365363200,1243235
1700947876871,6641172480,1297104
1700947877874,6910105600,1349630
1700947878874,7189514240,1404202
1700947879874,7470039040,1458992
1700947880874,7745592320,1512811
1700947881875,8028216320,1568011
1700947882875,8148285440,1591462
1700947883875,8148285440,1591462
1700947884875,8148285440,1591462
1700947885875,8148285440,1591462
1700947886876,8148285440,1591462
