packet_size,bw_bps
64,7115034482.75862
128,13453241379.310345
256,24381793103.448277
512,40960000000.0
1024,61969655172.413795
2048,83614896551.72414
3072,94384551724.13792
4096,101287724137.93103
6144,108800000000.0
8192,113203200000.0
