packet_size,bw_bps
64,6736614362.074074
128,12799597605.925926
256,23271639040.0
512,39383240421.51724
1024,60234450526.81481
2048,81920000000.0
3072,93090908956.44444
4096,98644160815.40741
6144,99168502838.85715
8192,99432586638.22223
