packet_size,bw_bps
64,7110787754.666667
128,13472839995.076923
256,24380208184.88889
512,40958830480.29091
1024,62059684617.48148
2048,83591836672.0
3072,94523076930.37038
4096,98644284264.2963
6144,99168475970.37038
8192,99432356219.25926
