packet_size,bw_bps
64,7521103448.275862
128,14230068965.51724
256,25564689655.172413
512,42654896551.72414
1024,63911724137.93104
2048,85309793103.44827
3072,96079448275.86208
4096,102294068965.51724
6144,109673931034.48276
8192,113800533333.33333
