timestamp,energy_joule,V_12V,I_12V,V_3V,I_3V
1700940752.514423,0.000000,12.009000,2.134000,3.367000,0.000000
1700940752.615636,2.593806,12.012000,2.134000,3.367000,0.000000
1700940752.715736,5.159731,12.012000,2.142000,3.367000,0.000000
1700940752.815854,7.735737,12.009000,2.189000,3.368000,0.000000
1700940752.915983,10.367898,12.007000,2.235000,3.368000,0.000000
1700940753.016139,13.055649,12.006000,2.235000,3.368000,0.000000
1700940753.117018,15.762577,12.003000,2.289000,3.367000,0.000000
1700940753.217581,18.525532,12.001000,2.334000,3.367000,0.000000
1700940753.318874,21.362783,12.001000,2.382000,3.367000,0.000000
1700940753.420010,24.253895,11.998000,2.428000,3.367000,0.000000
1700940753.520690,27.186818,11.994000,2.474000,3.366000,0.000000
1700940753.621544,30.179475,11.992000,2.516000,3.366000,0.000000
1700940753.721677,33.200675,11.989000,2.564000,3.366000,0.000000
1700940753.821930,36.282432,11.984000,2.602000,3.366000,0.000000
1700940753.922057,39.404629,11.984000,2.603000,3.366000,0.000000
1700940754.022633,42.542032,11.982000,2.613000,3.366000,0.000000
1700940754.123972,45.714851,11.982000,2.613000,3.366000,0.000000
1700940754.225240,48.885448,11.977000,2.607000,3.365000,0.000000
1700940754.325358,52.011536,11.977000,2.608000,3.365000,0.000000
1700940754.426299,55.164531,11.978000,2.629000,3.364000,0.000000
1700940754.526590,58.322710,11.977000,2.629000,3.365000,0.000000
1700940754.626717,61.475463,11.981000,2.627000,3.366000,0.000000
1700940754.726919,64.629229,11.982000,2.627000,3.366000,0.000000
1700940754.827062,67.781402,11.979000,2.627000,3.366000,0.000000
1700940754.927280,70.935145,11.979000,2.629000,3.366000,0.000000
1700940755.028036,74.108233,11.983000,2.636000,3.366000,0.000000
1700940755.129167,77.302677,11.985000,2.625000,3.366000,0.000000
1700940755.230050,80.476519,11.989000,2.625000,3.366000,0.000000
1700940755.330678,83.643395,11.989000,2.630000,3.366000,0.000000
1700940755.431397,86.819173,11.987000,2.606000,3.365000,0.000000
1700940755.531701,89.952482,11.986000,2.606000,3.366000,0.000000
1700940755.632625,93.104895,11.984000,2.606000,3.366000,0.000000
1700940755.732987,96.239231,11.982000,2.610000,3.366000,0.000000
1700940755.834338,99.408783,11.982000,2.610000,3.366000,0.000000
1700940755.934660,102.546154,11.980000,2.612000,3.365000,0.000000
1700940756.034839,105.680932,11.982000,2.617000,3.365000,0.000000
1700940756.135523,108.838069,11.987000,2.616000,3.365000,0.000000
1700940756.235891,111.985408,11.985000,2.609000,3.364000,0.000000
1700940756.336017,115.116235,11.986000,2.610000,3.365000,0.000000
1700940756.436191,118.250024,11.985000,2.606000,3.365000,0.000000
1700940756.536902,121.395521,11.989000,2.603000,3.366000,0.000000
1700940756.637048,124.520814,11.988000,2.603000,3.366000,0.000000
1700940756.737201,127.646065,11.990000,2.600000,3.366000,0.000000
1700940756.837488,130.772412,11.990000,2.602000,3.366000,0.000000
1700940756.937624,133.896453,11.989000,2.601000,3.365000,0.000000
1700940757.037786,137.019844,11.991000,2.601000,3.366000,0.000000
1700940757.138046,140.146812,11.987000,2.598000,3.366000,0.000000
1700940757.238225,143.266609,11.983000,2.602000,3.366000,0.000000
1700940757.338340,146.388171,11.983000,2.602000,3.367000,0.000000
1700940757.439271,149.535176,11.981000,2.607000,3.366000,0.000000
1700940757.539427,152.663495,11.982000,2.614000,3.367000,0.000000
1700940757.639739,155.805362,11.983000,2.623000,3.366000,0.000000
1700940757.740361,158.968054,11.983000,2.632000,3.366000,0.000000
1700940757.840586,162.129075,11.982000,2.633000,3.365000,0.000000
1700940757.940773,165.289836,11.982000,2.633000,3.366000,0.000000
1700940758.040965,168.450754,11.982000,2.632000,3.366000,0.000000
1700940758.141492,171.621036,11.982000,2.633000,3.366000,0.000000
1700940758.241574,174.778483,11.983000,2.629000,3.366000,0.000000
1700940758.341695,177.932626,11.983000,2.630000,3.366000,0.000000
1700940758.441838,181.088662,11.985000,2.633000,3.366000,0.000000
1700940758.542053,184.251097,11.984000,2.633000,3.366000,0.000000
