timestamp_ms,bytes_sent,reqs_done
1701038339895,325778432,45450
1701038340970,719502336,100377
1701038341971,1089320960,151970
1701038342971,1459971072,203679
1701038343971,1827689472,254979
1701038344972,2204088320,307490
1701038345972,2570473472,358604
1701038346973,2953717760,412070
1701038347973,3326482432,464074
1701038348973,3702981632,516599
1701038349974,4077531136,568852
1701038350974,4453901312,621359
1701038351975,4831124480,673985
1701038352975,5223328768,728701
1701038353975,5605505024,782018
1701038354975,5982534656,834617
1701038355976,6365284352,888014
1701038356976,6697836544,934408
1701038357976,7029342208,980656
1701038358977,7360604160,1026870
1701038359977,7692016640,1073105
1701038360977,8024160256,1119442
1701038361978,8365357056,1167042
1701038362978,8710288384,1215163
1701038363978,9047994368,1262276
1701038364978,9384281088,1309191
1701038365978,9713163264,1355074
1701038366979,10048267264,1401824
1701038367979,10388869120,1449340
1701038368979,10711414784,1494338
1701038369980,10711414784,1494338
1701038370980,10711414784,1494338
1701038371980,10711414784,1494338
1701038372981,10711414784,1494338
1701038373981,10711414784,1494338
