timestamp_ms,bytes_sent,reqs_done
1701038339896,94674944,13208
1701038340947,408898560,57046
1701038341948,721874944,100708
1701038342948,1028371456,143467
1701038343949,1334423552,186164
1701038344949,1638239232,228550
1701038345950,1952290816,272362
1701038346950,2266636288,316216
1701038347950,2577419264,359573
1701038348950,2891234304,403353
1701038349953,3195888640,445855
1701038350953,3506850816,489237
1701038351953,3827812352,534014
1701038352953,4158178304,580103
1701038353954,4473204736,624052
1701038354954,4790919168,668377
1701038355954,5114676224,713544
1701038356955,5434806272,758204
1701038357955,5763287040,804030
1701038358955,6085037056,848917
1701038359956,6410184704,894278
1701038360956,6738744320,940115
1701038361957,7063999488,985491
1701038362957,7381642240,1029806
1701038363957,7707657216,1075287
1701038364957,8021293056,1119042
1701038365958,8341673984,1163738
1701038366958,8657410048,1207786
1701038367958,8967196672,1251004
1701038368959,9276273664,1294123
1701038369959,9452154880,1318660
1701038370959,9452154880,1318660
1701038371959,9452154880,1318660
1701038372960,9452154880,1318660
1701038373960,9452154880,1318660
