timestamp_ms,bytes_sent,reqs_done
1701038339905,142091264,19823
1701038340985,466636800,65100
1701038341985,821825536,114652
1701038342986,1182734336,165002
1701038343986,1526490112,212959
1701038344986,1866683392,260419
1701038345986,2214173696,308897
1701038346987,2562767872,357529
1701038347987,2924773376,408032
1701038348987,3285825536,458402
1701038349988,3645250560,508545
1701038350988,3990002688,556641
1701038351988,4339213312,605359
1701038352988,4688266240,654055
1701038353989,5041856512,703385
1701038354989,5390414848,752011
1701038355989,5723146240,798430
1701038356989,6067138560,846421
1701038357990,6408851456,894093
1701038358990,6760126464,943098
1701038359990,7106498560,991420
1701038360990,7461393408,1040931
1701038361991,7815657472,1090354
1701038362991,8175799296,1140597
1701038363991,8508100608,1186956
1701038364992,8859956224,1236043
1701038365992,9207374848,1284511
1701038366992,9556857856,1333267
1701038367992,9910233088,1382566
1701038368992,10255221760,1430695
1701038369993,10452234240,1458180
1701038370993,10452234240,1458180
1701038371993,10452234240,1458180
1701038372994,10452234240,1458180
1701038373994,10452234240,1458180
