timestamp_ms,bytes_sent,reqs_done
1701038339896,335620096,46822
1701038340947,710291456,99092
1701038341947,1072813056,149667
1701038342947,1434632192,200145
1701038343948,1795748864,250524
1701038344948,2161309696,301522
1701038345948,2522992640,351980
1701038346948,2898839552,404414
1701038347949,3257253888,454416
1701038348949,3633122304,506853
1701038349949,3996547072,557554
1701038350950,4368637952,609464
1701038351950,4738657280,661085
1701038352950,5109515264,712823
1701038353950,5479434240,764430
1701038354950,5842959360,815146
1701038355951,6200628224,865043
1701038356951,6575442944,917333
1701038357951,6949777408,969556
1701038358952,7325316096,1021947
1701038359952,7699550208,1074156
1701038360952,8068730880,1125660
1701038361952,8427732992,1175745
1701038362953,8796204032,1227149
1701038363953,9151070208,1276656
1701038364953,9516451840,1327630
1701038365953,9879339008,1378256
1701038366954,10250784768,1430076
1701038367954,10626853888,1482541
1701038368954,10989827072,1533179
1701038369954,10989827072,1533179
1701038370955,10989827072,1533179
1701038371955,10989827072,1533179
1701038372955,10989827072,1533179
1701038373956,10989827072,1533179
