timestamp,energy_joule
1701038338.845208,174522.267822
1701038339.845325,174604.229004
1701038340.845443,174692.789551
1701038341.845567,174780.033936
1701038342.845683,174867.307068
1701038343.845819,174954.615967
1701038344.845973,175042.049500
1701038345.846107,175129.270508
1701038346.846252,175216.372620
1701038347.846376,175303.348572
1701038348.846493,175390.614197
1701038349.846631,175477.747009
1701038350.846775,175564.744141
1701038351.846916,175651.792114
1701038352.847056,175738.927307
1701038353.847196,175825.846436
1701038354.847315,175912.731873
1701038355.847432,175999.755493
1701038356.847566,176086.863770
1701038357.847715,176173.661987
1701038358.847861,176260.950439
1701038359.848002,176348.100586
1701038360.848128,176434.927673
1701038361.848265,176521.714722
1701038362.848408,176608.379578
1701038363.848550,176695.189331
1701038364.848676,176782.027893
1701038365.848809,176868.906128
1701038366.848933,176956.276428
1701038367.849068,177043.349060
1701038368.849212,177130.692993
