timestamp,bytes_sent,reqs_done
124999999,0,0
249999999,0,0
374999999,0,0
499999999,0,0
624999999,0,0
749999999,0,0
874999999,0,0
999999999,0,0
1124999999,0,0
1249999999,0,0
1374999999,0,0
1499999999,0,0
1624999999,0,0
1749999999,0,0
1874999999,0,0
1999999999,0,0
2124999999,0,0
2249999999,0,0
2374999999,0,0
2499999999,0,0
2624999999,0,0
2749999999,0,0
2874999999,0,0
2999999999,0,0
3124999999,0,0
3249999999,0,0
3374999999,0,0
3499999999,0,0
3624999999,0,0
3749999999,0,0
3874999999,0,0
3999999999,0,0
4124999999,0,0
4249999999,0,0
4374999999,0,0
4499999999,0,0
4624999999,0,0
4749999999,0,0
4874999999,0,0
4999999999,0,0
5124999999,0,0
5249999999,0,0
5374999999,0,0
5499999999,0,0
5624999999,0,0
5749999999,0,0
5874999999,0,0
5999999999,0,0
6124999999,0,0
6249999999,0,0
6374999999,0,0
6499999999,0,0
6624999999,0,0
6749999999,0,0
6874999999,0,0
6999999999,0,0
7124999999,0,0
7249999999,0,0
7374999999,0,0
7499999999,0,0
7624999999,0,0
7749999999,0,0
7874999999,0,0
7999999999,0,0
8124999999,0,0
8249999999,0,0
8374999999,301758464,42098
8499999999,1985966080,277060
8624999999,3670180864,512023
8749999999,5354388480,746985
8874999999,7038598784,981947
8999999999,8722810880,1216910
9124999999,10407018496,1451872
9249999999,12091233280,1686835
9374999999,13775440896,1921797
9499999999,15459652224,2156759
9624999999,17143863296,2391722
9749999999,18828070912,2626684
9874999999,20512285696,2861647
9999999999,22196493312,3096609
10124999999,23880705664,3331571
10249999999,25564915712,3566534
10374999999,27249123328,3801496
10499999999,28933338112,4036459
10624999999,30617545728,4271421
10749999999,32301759104,4506383
10874999999,33985968128,4741346
10999999999,35670175744,4976308
11124999999,37354390528,5211271
11249999999,39038598144,5446233
11374999999,40722812544,5681195
11499999999,42407020544,5916158
11624999999,44091228544,6151120
11749999999,45775442944,6386083
11874999999,47459650560,6621045
11999999999,49143865344,6856008
12124999999,50828072960,7090970
12249999999,52512281984,7325932
12374999999,54196495360,7560895
12499999999,55880702976,7795857
12624999999,57564917760,8030820
12749999999,59249125376,8265782
12874999999,60933335424,8500744
12999999999,62617547776,8735707
13124999999,64301755392,8970669
13249999999,65985970176,9205632
13374999999,67670177792,9440594
13499999999,69354388864,9675556
13624999999,71038600192,9910519
13749999999,72722807808,10145481
13874999999,74407022592,10380444
13999999999,76091230208,10615406
14124999999,77775442304,10850368
14249999999,79459652608,11085331
14374999999,81143860224,11320293
14499999999,82828075008,11555256
14624999999,84512282624,11790218
14749999999,86196495744,12025180
14874999999,87880705024,12260143
14999999999,89564912640,12495105
15124999999,91249127424,12730068
15249999999,92933335040,12965030
15374999999,94617549184,13199992
15499999999,96301757440,13434955
15624999999,97985965184,13669917
15749999999,99670179840,13904880
15874999999,101354387456,14139842
15999999999,102525652992,14303244
16124999999,102525652992,14303244
16249999999,102525652992,14303244
16374999999,102525652992,14303244
16499999999,102525652992,14303244
16624999999,102525652992,14303244
16749999999,102525652992,14303244
16874999999,102525652992,14303244
16999999999,102525652992,14303244
17124999999,102525652992,14303244
17249999999,102525652992,14303244
