timestamp,energy_joule
1701038154.645073,165508.817871
1701038155.645206,165540.694153
1701038156.645351,165616.105530
1701038157.645474,165690.841309
1701038158.645612,165765.214294
1701038159.645758,165838.991943
1701038160.645908,165913.398804
1701038161.646055,165987.892090
1701038162.646204,166062.707092
1701038163.646347,166137.705383
1701038164.646492,166212.403442
1701038165.646636,166287.086975
1701038166.646780,166361.527893
1701038167.646922,166436.158752
1701038168.647061,166510.729370
1701038169.647211,166585.819458
1701038170.647351,166660.572693
1701038171.647503,166735.482178
1701038172.647622,166810.320435
1701038173.647759,166885.308594
1701038174.647902,166960.250549
1701038175.648026,167035.279419
1701038176.648159,167110.215820
1701038177.648302,167185.313293
1701038178.648459,167260.260925
1701038179.648612,167335.577454
1701038180.648747,167411.101257
1701038181.648891,167486.233887
1701038182.649038,167561.290527
1701038183.649181,167636.370117
1701038184.649331,167711.575073
